Minisector,HAM,MAG,Fastest
0,274.4340562678475,276.88447689981996,MAG
1,305.1213667562152,303.5005251485002,HAM
2,325.63344918874077,317.6035925688889,HAM
3,341.7678891404603,323.76922613333335,HAM
4,346.5148550551805,327.9306349298492,HAM
5,347.81688984761905,330.0035417866667,HAM
6,220.8613509182098,190.96767690850635,HAM
7,107.39220446414247,106.6970645986834,HAM
8,191.03689673089886,188.73090873208355,HAM
9,263.14632692172336,267.1723127932773,MAG
10,296.0110639589952,292.76265834714076,HAM
11,157.81081680510894,164.6131274806803,MAG
12,98.28607948993177,94.24891602728104,HAM
13,115.16212782263074,119.63596758806675,MAG
14,218.39771155169083,224.2718879055238,MAG
15,189.76728840131724,196.27679248539025,MAG
16,220.55644700606064,231.74703587784128,MAG
17,178.86847012689392,187.3062147067998,MAG
18,236.4634616321195,242.12564591255466,MAG
19,276.6858614480672,279.73285557530863,MAG
20,232.47807823597594,245.90767884793433,MAG
21,142.28350513763266,146.86556037167443,MAG
22,100.95229137312323,98.11232716083506,HAM
23,124.65771416809524,123.00262618829602,HAM
24,227.05301497973122,228.4490354387095,MAG
