Minisector,RIC,RUS,Fastest
0,319.0270186136646,320.594918602698,RUS
1,326.11136373333335,329.05220159921834,RUS
2,322.2665631072464,330.5951317621531,RUS
3,193.3140869175101,196.4524607050539,RUS
4,116.4502825633475,113.460415869648,RIC
5,264.7125501590819,264.5453748557908,RIC
6,300.8456931097432,300.64271400228574,RIC
7,311.88876823188406,307.79655800579707,RIC
8,274.8883319933509,277.98878317948714,RUS
9,139.39541771573892,138.72569276937898,RIC
10,221.6054244235518,214.78331781180395,RIC
11,216.15252539879634,204.99288984550265,RIC
12,192.6915492778303,188.32605622882946,RIC
13,266.24856215123225,268.3108275692368,RUS
14,303.4730869238572,305.92616778418176,RUS
15,311.7875517283644,322.83931144347827,RUS
16,259.08684452037437,259.13856256234027,RUS
17,205.3925887207934,191.50997855559092,RIC
18,271.39559370282694,264.4813814763792,RIC
19,305.9310039850932,306.2284415536232,RUS
20,318.8538823566912,321.59594031613915,RUS
21,307.9493064888889,301.72150190933337,RIC
22,206.86811400293732,198.31028719218378,RIC
23,262.9901779047619,263.53749929876545,RUS
24,300.03869608766496,302.36768279305255,RUS
25,293.1499968,,RIC
