Minisector,SAI,HAM,Fastest
0,291.392916003013,287.92828922273634,SAI
1,299.0873096247042,298.0222067169369,SAI
2,278.5690363120181,279.58832053360067,HAM
3,105.3680632800944,108.62632200600717,HAM
4,221.16313132986124,218.79249485780431,SAI
5,271.419590461244,275.3335707631746,HAM
6,203.14144887194342,212.53140948207425,HAM
7,162.69272714047793,159.5415622221478,SAI
8,210.0443902373757,208.1067172243897,SAI
9,223.85535425008484,214.43887066307298,SAI
10,115.31720043379467,115.6560909957881,HAM
11,227.66903997478406,224.45485316144303,SAI
12,120.3104995037242,116.36811060110905,SAI
13,216.14306076807725,220.21424375084837,HAM
14,275.164118980279,279.3018054737888,HAM
15,215.24980251143595,219.0998954478542,HAM
16,189.14195984728923,190.21652581140933,HAM
17,251.90555586287678,246.3801738111844,SAI
18,203.72559896194429,200.91942558745097,SAI
19,170.21049595353875,183.61436503676296,HAM
20,261.49005563233237,261.9845420428917,HAM
21,285.91242507106494,287.01434080010904,HAM
22,170.27872908197511,159.51062743804738,SAI
23,207.08523318659698,206.90806426177545,SAI
24,269.9920711580806,271.267127246071,HAM
