Minisector,PIA,SAI,Fastest
0,271.5336618492517,274.4631002892379,SAI
1,253.51826428034445,248.13347011844155,PIA
2,119.6863508618449,119.4471935371956,PIA
3,176.00390682786636,174.3447470919882,PIA
4,196.64398964008734,188.72051911193034,PIA
5,198.52028140901587,204.858393997676,SAI
6,262.5175089636431,266.9286110577778,SAI
7,283.17473348667795,288.3250676941302,SAI
8,235.07401060124445,227.19137732592594,PIA
9,147.16267539087718,143.7881182231109,PIA
10,119.7270340100118,124.68558289564079,SAI
11,170.72151902930477,164.4328316402837,PIA
12,247.67450944738815,248.7695248946654,SAI
13,162.90438026096365,150.88402740622223,PIA
14,150.57869648267334,151.88154790736542,SAI
15,106.36627068551849,106.28839539557819,PIA
16,216.04438293237746,227.61573767155278,SAI
17,228.88138553637427,235.28267744588746,SAI
18,130.89089438081535,131.31702759776297,SAI
19,239.37635684419047,246.17295453305726,SAI
20,274.3387550448828,276.4568842962575,SAI
21,203.21173951259843,191.73112764181718,PIA
22,156.06716538152145,172.26256347094738,SAI
23,220.3901567748857,221.87868057489177,SAI
24,235.66569016259217,235.27489903666876,PIA
