Minisector,SAI,VER,Fastest
0,270.69985987465424,270.28655258181817,SAI
1,290.5658964526611,291.9850872701754,VER
2,298.8521382163261,297.4375002980392,SAI
3,123.2010467658935,131.48713629437228,VER
4,191.57715745185183,188.78371726922825,SAI
5,254.5928678235818,254.9093253079365,VER
6,139.1792252936531,145.58678099227836,VER
7,202.77408240437936,198.20661188853614,SAI
8,257.1785705650794,257.7425929940522,VER
9,278.85581157427913,282.15526321403513,VER
10,231.83392788210537,237.4266055089027,VER
11,177.70378636413727,181.42094857235605,VER
12,191.97534571168066,185.2276301751363,SAI
13,147.26549301445584,150.02718815115756,VER
14,175.98634830131368,175.50487100532428,SAI
15,162.78287560258667,162.94770896623376,VER
16,216.28885426481452,215.56482018165508,SAI
17,230.4461092789843,230.46753573333334,VER
18,236.87563681135626,233.7771630746837,SAI
19,239.5113662060606,246.18634107661345,VER
20,139.16747385530928,144.15193235770167,VER
21,133.54093156078056,137.00014462793908,VER
22,171.67499896888887,167.3387809672966,SAI
23,146.55897464456476,148.65601876730753,VER
24,229.03100030476193,226.64723135429776,SAI
