Minisector,RIC,MAG,Fastest
0,266.662194076822,271.01669932308187,MAG
1,284.44008474009144,288.9573803553713,MAG
2,290.8272654565375,293.38848050196077,MAG
3,136.58839914829437,129.76662674332192,RIC
4,197.41496222475533,193.89512988742382,RIC
5,255.79140031378023,256.82495869374645,MAG
6,148.15123654006732,144.2407249201559,RIC
7,204.78798804162872,199.99707194494493,RIC
8,255.50405290741347,257.8811085295924,MAG
9,278.14128975904197,280.83588920769466,MAG
10,246.24313012098713,239.97602913162058,RIC
11,185.7411520204357,183.0394499507797,RIC
12,193.58433525393932,189.11638771631442,RIC
13,152.57864623081036,144.32309156281204,RIC
14,174.2752257659097,173.49381221631228,RIC
15,161.5752291730674,155.84050072203044,RIC
16,217.89424766984126,217.08834275552314,RIC
17,234.43801563972033,239.6370563393657,MAG
18,238.6496399422952,236.52287665093345,RIC
19,246.504166933853,237.3686421330189,RIC
20,147.17752669963642,143.2418540122989,RIC
21,138.900352319121,133.21498644984916,RIC
22,171.55619959262782,169.3267138347001,RIC
23,153.45251555767769,149.5417434269971,RIC
24,226.5016974296472,231.50309348215453,MAG
25,254.95833066666665,,RIC
