Minisector,PER,MSC,Fastest
0,273.1947756213585,271.17161366153846,PER
1,292.6224779916458,291.60210411733334,PER
2,291.204457536859,290.0239082022511,PER
3,186.66875511652503,177.85141039881066,PER
4,117.66081871267777,116.38875102791971,PER
5,230.78775488501347,232.24004061430838,MSC
6,275.66565276389053,277.62075220154134,MSC
7,290.8700690406926,289.0598064923906,PER
8,180.65462873732338,174.95661099391324,PER
9,138.5773910115855,139.93259586197402,MSC
10,243.6480076736,244.75635946203187,MSC
11,282.54904544548054,282.49365708342134,PER
12,295.32578304057233,287.38445109682664,PER
13,280.4632816498147,273.03791138302444,PER
14,294.80364828988064,291.38252155197694,PER
15,301.1834719464048,288.18552442096797,PER
16,252.8182141448294,243.96873029978022,PER
17,216.5358076576784,218.51343075331127,MSC
18,270.727070010694,271.6943454044864,MSC
19,294.77741650723976,294.195168500429,PER
20,304.7525985951065,298.80866080000004,PER
21,231.08339286228548,231.52495038846462,MSC
22,250.67931258590622,248.63791952156288,PER
23,139.92274298145225,136.657276156391,PER
24,209.4927037853865,204.2859271361847,PER
25,,253.35000000000002,MSC
