Minisector,VER,HAD,Fastest
0,301.7771343931685,303.2036691014346,HAD
1,214.00811556176623,198.70778515216966,VER
2,144.12688249738665,147.19650839313366,HAD
3,227.92910319200163,219.47300674435817,VER
4,171.60654869692496,167.60242832765616,VER
5,186.7380936614454,177.49527648877515,VER
6,255.70968156571428,257.62146294528253,HAD
7,280.8862605115861,281.4229391845926,HAD
8,287.8089323916904,289.5377342374695,HAD
9,263.2149499957895,261.72653911300097,VER
10,252.02383141434993,244.6196908400213,VER
11,245.68503601142078,244.58227276021566,VER
12,210.03670053169287,208.9582332119858,VER
13,132.67976874014659,133.22716276631928,HAD
14,148.8546453244398,138.50655991315114,VER
15,178.25203537151992,186.19123838428268,HAD
16,249.8088551338658,251.69311370302398,HAD
17,248.15262874012285,224.3205297976115,VER
18,114.20218073061821,114.26362118497656,HAD
19,202.2335788176021,200.7881406204254,VER
20,204.93176129273138,200.90711625387542,VER
21,236.04100651157842,238.75692842506268,HAD
22,267.24029722920636,266.74638056691356,VER
23,283.77851597355266,287.25906904114566,HAD
24,297.0811196133333,297.9974217777778,HAD
