Minisector,ANT,RUS,Fastest
0,297.18727655606455,293.50661801978134,ANT
1,310.01188326015034,305.444129224,ANT
2,314.6631424363991,309.09251789409734,ANT
3,181.73795362380045,190.51937647084213,RUS
4,204.86242987908287,213.74516748437858,RUS
5,204.38395980026309,201.4562568180186,ANT
6,268.95614331223675,264.50745915918634,ANT
7,254.2787887040063,265.2777383378932,RUS
8,217.87140725589555,217.77006330180285,ANT
9,212.80641173578545,215.144926704805,RUS
10,133.8668459143813,135.81343558022851,RUS
11,199.51286277534285,201.66347858907594,RUS
12,183.1113760748052,178.00320864,ANT
13,253.35512923396826,254.70269699948636,RUS
14,174.62141927909386,172.10914737461806,ANT
15,231.9185204673016,231.62592481074262,ANT
16,280.721720382585,280.5192813745202,ANT
17,292.2789184986679,292.7177581604643,RUS
18,282.2292292905216,287.6457564677978,RUS
19,265.20253545385356,265.7300679793491,RUS
20,264.17797213776623,267.0267159146937,RUS
21,262.48565120853544,265.4681585311111,RUS
22,228.55169054023463,234.8981200336044,RUS
23,205.55961721303967,200.17363145290327,ANT
24,273.0900421823313,267.84409061818184,ANT
25,290.9666659555555,285.33749952,ANT
