Minisector,HAM,TSU,Fastest
0,287.92828922273634,291.93988909259815,TSU
1,298.0222067169369,301.8946348552109,TSU
2,279.58832053360067,280.67648032484846,TSU
3,107.56607775611444,107.71407018849969,TSU
4,216.58412551616067,214.8843860393211,HAM
5,275.3335707631746,277.03810639294164,TSU
6,219.56829580507954,209.12323734693078,HAM
7,157.20686677280688,152.60973843047617,HAM
8,208.1067172243897,203.9958087036206,HAM
9,214.43887066307298,215.06275004470095,TSU
10,114.27833791970386,111.7917463108583,HAM
11,222.71958758051068,223.94179959219954,TSU
12,115.49075811603831,112.08844113751505,HAM
13,218.36118553515342,218.30339339060941,HAM
14,279.3018054737888,285.7759345632653,TSU
15,225.42868713488252,215.926900812786,HAM
16,187.34643858561452,180.469346583269,HAM
17,246.3801738111844,243.462451882106,HAM
18,205.46849123666667,198.0279452451371,HAM
19,178.57472527201256,167.0425451599388,HAM
20,260.4069565430857,261.922108759798,TSU
21,286.5358849276112,288.108494660659,TSU
22,160.2491939273443,167.659550423106,TSU
23,202.77336997613574,203.54455601143783,TSU
24,271.267127246071,272.81528521336065,TSU
25,,290.2204549818182,TSU
