Minisector,VER,ANT,Fastest
0,326.59965120701327,323.21295493171715,VER
1,336.50178810561323,332.867932793939,VER
2,333.4646033192868,336.6802755833584,ANT
3,196.75084418054155,197.91623455456082,ANT
4,131.18539534908004,134.2350507404907,ANT
5,268.491780004794,269.3589985502368,ANT
6,304.30483539694086,302.9237995661153,VER
7,318.1723824323882,317.08018353499267,VER
8,276.91826212052877,261.54390082336505,VER
9,146.05216030795134,151.94075581401168,ANT
10,224.3679398578597,224.32729944130634,VER
11,233.82846511501307,230.96727837622106,VER
12,207.8747975911549,214.543810419343,ANT
13,279.8365956519712,274.9729260395257,VER
14,311.86754808990474,308.4054359691082,VER
15,324.9116439448068,319.36336581019606,VER
16,278.715478367205,267.7783075917949,VER
17,223.43620464738538,221.92929855855883,VER
18,279.1155193164001,280.95307578022243,ANT
19,312.8263753004572,312.7652843104531,VER
20,324.67341047308645,325.6284398286869,ANT
21,309.6096542098551,308.6218834346667,VER
22,227.65936809011168,216.09186995053142,VER
23,275.76631634108355,269.6100960928468,VER
24,309.8683783803896,305.5579053979138,VER
