Minisector,LEC,OCO,Fastest
0,275.0548455687716,273.66622530934745,LEC
1,297.34907350187035,291.9568096082822,LEC
2,296.2485000472381,288.64678577980953,LEC
3,190.88870855434644,186.70110558428684,LEC
4,122.52071085973476,125.89678585098184,OCO
5,237.13531961915217,237.41207771809522,OCO
6,286.0929350796524,279.44366695630026,LEC
7,302.99023351414485,286.5961540923077,LEC
8,175.1882894781789,180.68027803090297,OCO
9,139.61132859512065,146.16131728865196,OCO
10,251.22409971453234,249.76795928275862,LEC
11,287.57086833417253,281.86488526652954,LEC
12,297.96842073129045,288.2254763702857,LEC
13,279.6836418765432,272.4458331259259,LEC
14,301.6662482795995,294.88268825396824,LEC
15,306.17567660900477,295.42983362438093,LEC
16,254.13051964936608,250.76611312446636,LEC
17,215.48225551521534,228.8664180144451,OCO
18,279.6443337216887,279.6448027604396,OCO
19,306.6838766376812,300.9720485777778,LEC
20,314.7829969358178,301.59383120592594,LEC
21,217.6635715148399,229.90762666190477,OCO
22,258.227033231746,254.71241076717476,LEC
23,136.62706623546507,139.1704240595911,OCO
24,210.48847401521303,215.25799818618125,OCO
25,257.18749866666667,,LEC
