Minisector,SAI,VER,Fastest
0,323.3143576140837,322.6476197194333,SAI
1,333.2775759890743,331.36414021563115,SAI
2,329.7467106021053,330.7948333333333,VER
3,192.2188453711511,192.1472587575792,SAI
4,128.05434171585617,136.76109498261397,VER
5,269.0824289473646,268.90985895568264,SAI
6,304.1278858495615,302.74666375420287,SAI
7,316.0835192761905,314.72338514577353,SAI
8,277.3768240414815,284.93019159619047,VER
9,147.11884965893157,151.40486880902807,VER
10,216.5987524981932,223.04854974679387,VER
11,223.99621554316738,234.86910126780953,VER
12,196.75611558023746,207.56729920576305,VER
13,270.8527577265637,273.4843726995671,VER
14,307.966887638747,308.5853240074578,VER
15,326.09056260380953,320.6825239969378,SAI
16,272.9849727393939,269.707557523693,SAI
17,212.56998062784527,224.6342082401097,VER
18,277.9760028057143,280.9598661004242,VER
19,309.7664021119845,310.03722848788635,VER
20,324.99864559703707,318.7965973511111,SAI
21,309.3791727237474,303.0955882342214,SAI
22,198.84306801401684,216.5521128726677,VER
23,265.5298813981505,268.02806465820726,VER
24,305.7634326796191,295.82181731246374,SAI
25,316.36785737142856,304.04,SAI
