Minisector,RUS,MSC,Fastest
0,294.6940392514286,295.54921399602216,MSC
1,305.07986812517004,308.7032143238095,MSC
2,154.46796312756683,168.89385764318806,MSC
3,224.61853637460317,216.65418164299143,RUS
4,276.6893236395568,268.08038075933194,RUS
5,302.1687733233333,286.9977777840506,RUS
6,312.20750016,293.9221727238095,RUS
7,165.5120160264285,192.76958684502878,MSC
8,128.6776364755748,114.45366690735042,RUS
9,251.88154819428573,237.38928472913565,RUS
10,286.30313506807016,278.3328080099066,RUS
11,291.7055695490909,288.62078920917105,RUS
12,136.248397626582,153.24070196454224,MSC
13,187.06701222902686,176.07370182488168,RUS
14,248.23417842205512,250.42149218296964,MSC
15,200.38855475776904,198.75594280104903,RUS
16,219.505587584,207.31580858794376,RUS
17,212.76541940868483,209.29143820405963,RUS
18,239.29303884425485,230.57900748458945,RUS
19,270.87749913680676,269.6319875957257,RUS
20,286.89032191087347,287.4692245997037,MSC
21,261.89500196977286,262.86066445755216,MSC
22,229.6971326105176,224.16361968011043,RUS
23,201.81026612596378,192.52162731436883,RUS
24,258.66156635789474,255.90850531729322,RUS
25,,277.47083306666667,MSC
