Minisector,LEC,HAM,Fastest
0,247.29678643094667,252.37132080529685,HAM
1,285.14054926843477,288.08414703238094,HAM
2,182.87598439564442,181.29675380743498,LEC
3,160.80587557764704,155.00061157803174,LEC
4,254.8544009504228,256.3872006399782,HAM
5,275.16915158673044,276.0830705430303,HAM
6,247.93502241937426,242.95835390085674,LEC
7,219.55078727807197,212.85091726575962,LEC
8,159.39516788185654,154.4203134119472,LEC
9,206.49917506584183,219.2430277115061,HAM
10,268.4913562050575,273.7911604327135,HAM
11,126.60333968787809,127.5974552554244,HAM
12,208.9966813677515,216.70274042372398,HAM
13,275.5211665236975,277.9817838918725,HAM
14,297.4301895031397,298.3856169196505,HAM
15,309.0197284462064,307.1550672650472,LEC
16,248.71877022966058,233.84123239898577,LEC
17,125.56693069917986,128.4202844833879,HAM
18,127.98383819101676,129.83710026542565,HAM
19,117.57194252874243,117.34481236436756,LEC
20,227.09148223692424,227.91446960761903,HAM
21,259.73311722943725,260.5867714052003,HAM
22,241.06154232996724,247.38339456234146,HAM
23,218.27999449744067,222.67968173478457,HAM
24,136.45577947451793,138.00791635392935,HAM
