Minisector,NOR,ALO,Fastest
0,264.980157566377,260.25618430139366,NOR
1,133.74843026892114,133.15966660533485,NOR
2,270.35122520674497,268.39036502521793,NOR
3,316.01800403666164,309.0373477537278,NOR
4,315.65302576203175,308.52726204830475,NOR
5,327.5731085274622,314.88872689185183,NOR
6,333.2847655012121,317.18676666880003,NOR
7,339.62208315944133,317.8313595753992,NOR
8,198.72070451595656,198.35839388488995,NOR
9,201.69726956867328,204.27235432715344,ALO
10,178.63951334300089,177.53069941804966,NOR
11,172.79358332132892,167.8732588239444,NOR
12,260.27457661063903,253.81300359339824,NOR
13,279.4808804138146,273.82498529429574,NOR
14,287.97653572613126,282.2945184994855,NOR
15,274.5457460938272,258.68881917535333,NOR
16,177.88523425346332,167.32411685695124,NOR
17,200.43709335808612,195.4946370378118,NOR
18,249.86470007119303,247.06857205369863,NOR
19,292.26145756025835,289.05218085011666,NOR
20,313.2923340794876,307.200820537017,NOR
21,319.91400879836516,312.3812362590476,NOR
22,317.05458805229597,309.5337773564835,NOR
23,249.26982839842145,249.35115275533852,ALO
24,121.43198855600272,120.39336122477756,NOR
25,235.90000213333335,,NOR
