Minisector,LEC,NOR,Fastest
0,257.91155795141253,257.0127455517661,LEC
1,211.34444728352406,198.6750825713069,LEC
2,223.57552023208427,222.1297981537263,LEC
3,263.15517630807454,261.7607975203701,LEC
4,278.840550367033,272.58480082139056,LEC
5,231.47932304120383,212.92360982344516,LEC
6,98.32162249759031,90.66037790884096,LEC
7,188.24145866614813,196.6293634930011,NOR
8,270.2433044651504,272.9269498680154,NOR
9,292.0132991863012,294.9742034444922,NOR
10,300.2738866564936,303.90995923607323,NOR
11,297.85687490738,302.3847204977778,NOR
12,113.94824672298043,107.82129855856739,LEC
13,216.31276372190834,222.24567210957682,NOR
14,276.89882766128295,280.6431662402872,NOR
15,295.4507936507937,299.16308281278424,NOR
16,226.06669275874174,216.41235651046128,LEC
17,126.42363562616394,120.83884279844429,LEC
18,154.86491223582374,151.68267393245068,LEC
19,254.67126591307834,251.41217659438226,LEC
20,160.6208792271898,145.56278737134647,LEC
21,129.42799888289522,127.14675486243057,LEC
22,208.14306997313764,207.37998092861702,LEC
23,213.2188751563909,195.72087919188647,LEC
24,167.4907451382419,162.05244818510425,LEC
25,232.41666666666666,,LEC
