Minisector,PER,BOT,Fastest
0,320.94986983238687,316.1644002429052,PER
1,329.75214862079173,325.2021963687619,PER
2,326.4935070336508,322.45658109014073,PER
3,200.50354819839953,189.82981070506028,PER
4,111.32743790983294,120.87733748637532,BOT
5,262.820875086011,262.6141516266667,PER
6,299.95568001567943,296.51432892563736,PER
7,317.1204462072596,311.45452418315784,PER
8,266.6742480988523,279.968289947013,BOT
9,138.2991544347473,137.10552037540052,PER
10,214.34240190483342,208.2186320382894,PER
11,204.32048704487622,206.78742968271257,BOT
12,189.55336421541858,189.78898761978348,BOT
13,264.9755654184127,264.252947163175,PER
14,300.90005143947894,300.35076753684206,PER
15,316.10194527982685,314.1781286474854,PER
16,257.50718529400933,255.1406292083459,PER
17,204.33319377597545,201.67522202355374,PER
18,271.9007567329041,266.99956803675275,PER
19,306.97059766795576,303.4257566,PER
20,322.4752896442931,315.2210597925471,PER
21,309.30903438776335,298.8874710740097,PER
22,204.04591545804013,195.739941886293,PER
23,260.51368481269844,262.22151729490685,BOT
24,300.83561568312825,298.32213910150966,PER
25,312.9428571428572,309.24375,PER
