Minisector,VER,ERI,Fastest
0,249.5973967111111,250.33742716034314,ERI
1,283.2802991740874,283.2241666666667,VER
2,176.7783522239744,170.1101319727715,VER
3,161.53010305741498,161.74160052910054,ERI
4,256.13247812871134,255.01754067623688,VER
5,271.01239109838235,268.7564935064935,VER
6,235.38549577733986,228.96414246311554,VER
7,206.79143919667948,202.00733894213369,VER
8,162.2821970519744,161.39572012972974,VER
9,225.8750006153846,211.01570900395114,VER
10,271.01016238504627,268.98007411519274,VER
11,133.378233700187,130.2058913853419,VER
12,212.03817564895945,209.43511927619048,VER
13,276.14940479999996,271.9657871896286,VER
14,297.02678580571427,293.21446438095234,VER
15,304.8703947789474,300.6710528,VER
16,249.0122705762916,226.23360112242045,VER
17,130.40172527909615,130.54076452140794,ERI
18,129.7179543274001,130.32534907175017,ERI
19,119.89605557253405,119.45707792574547,VER
20,226.9347746051282,224.75861868670893,VER
21,258.36967545872324,255.2468704282138,VER
22,241.2981466852052,232.24711343589746,VER
23,218.60818058271605,207.7073114679134,VER
24,139.6132145314647,134.1583880900433,VER
25,,219.15625066666666,ERI
