Minisector,PER,VET,Fastest
0,300.60126812753623,303.08879134986194,VET
1,302.2624191379886,305.45535524436804,VET
2,257.3153303405714,263.8313911552057,VET
3,154.19580262795415,150.8025054215179,PER
4,169.19133839619047,165.59179130453606,PER
5,217.61921467898514,210.61964495320552,PER
6,234.5930602713954,237.05232342073728,VET
7,213.2545216904378,210.7649139421658,PER
8,268.00296164793434,260.01556005330093,PER
9,252.4880146730267,258.7319525912381,VET
10,269.635178298142,274.89571398704766,VET
11,269.286448919192,278.1988992788926,VET
12,269.49049975466664,277.8004478556519,VET
13,265.8468132220603,270.513397602083,VET
14,178.90056249987128,170.31479375180913,PER
15,239.42741284579498,235.95085492857717,PER
16,208.51343801476733,206.89412846605762,PER
17,176.14731693913453,165.8113268643008,PER
18,258.6600052775613,255.19799931123808,PER
19,285.81208768261274,283.69074751128875,PER
20,252.08111304674318,250.69972351106355,PER
21,183.70502288393882,186.75708976724596,VET
22,256.6002585633747,256.4367851093333,PER
23,285.5151441990827,284.8250221273842,PER
24,296.3128624695652,298.48768945454543,VET
25,,303.3,VET
