Minisector,HAM,KVY,Fastest
0,253.61641978344502,270.5763802486683,KVY
1,134.9093545247272,130.5518698025251,HAM
2,200.3838721445213,198.44529013156335,HAM
3,244.34527568007326,246.2715849681681,KVY
4,255.35758706089752,261.31089986845035,KVY
5,178.65354805789852,178.92904218350353,KVY
6,147.34201111607183,146.5190663398858,HAM
7,180.18938939850307,182.62852812571225,KVY
8,99.92128401715645,101.6960107736629,KVY
9,72.76568897843995,72.67782985544258,HAM
10,93.2467291764812,93.14577890863053,HAM
11,184.04675234132475,182.0240939306083,HAM
12,242.9797440003734,244.70265481722095,KVY
13,264.1797096354947,269.189131928469,KVY
14,271.8241764336996,277.64869599880427,KVY
15,112.73944626830789,111.60401124842048,HAM
16,149.03730064975923,145.59685023896,HAM
17,189.75112026161088,187.8021130199135,HAM
18,199.40390009172972,196.75269707045814,HAM
19,207.6288517019608,211.95446716596211,KVY
20,138.0067323026819,133.06596047355498,HAM
21,114.11255011873516,108.09696948589144,HAM
22,94.44947913419637,94.61889248083119,KVY
23,195.8916623589449,197.472617655602,KVY
24,247.75485086364344,250.5750869857507,KVY
