Minisector,RUS,SAI,Fastest
0,284.8147340088889,277.11388893121693,RUS
1,293.2113636987013,286.33027808,RUS
2,237.0925314535619,215.8335156852747,RUS
3,119.90170545376635,109.65562236423037,RUS
4,134.68354066649886,134.5782177823547,RUS
5,255.28439038176347,260.23109455550104,SAI
6,245.45435740666667,230.1748542204233,RUS
7,128.7471851587733,127.52909805442519,RUS
8,253.06569482112553,247.55175162035295,RUS
9,255.72391150064024,243.87790988081625,RUS
10,213.04011450484333,191.69800966963643,RUS
11,143.80775041632725,134.63926620365362,RUS
12,204.5259662115654,212.32376351590162,SAI
13,254.0423452584814,246.60215879933966,RUS
14,113.87637156383204,108.16965563719546,RUS
15,192.82342850620898,193.37912496554307,SAI
16,270.9309690867633,269.08612919182457,RUS
17,312.97185719887955,315.9750815370465,SAI
18,323.7016527787862,335.1942524597912,SAI
19,327.2149719502521,333.83612417185185,SAI
20,325.15689887695237,324.29421271111113,RUS
21,190.66381841438192,164.37367003459175,RUS
22,143.34121934017116,149.14489502483258,SAI
23,191.20521988626848,173.86166472433553,RUS
24,231.52879095515516,233.1913066417316,SAI
25,258.0,,RUS
