Minisector,LEC,GAS,Fastest
0,279.5145243755026,279.0190717005437,LEC
1,296.16210573468095,296.0578094994286,LEC
2,294.3353748458639,292.93116175223037,LEC
3,176.12253862179443,172.8131509786836,LEC
4,125.2479519723836,125.33295168543542,GAS
5,243.1301568893879,238.48936820798707,LEC
6,283.3085489420254,280.37546196067586,LEC
7,292.75350761997265,290.1947539949604,LEC
8,180.7603295981117,184.16921900753456,GAS
9,148.31398930360135,146.32007007551942,LEC
10,257.7355024071562,255.4180232390258,LEC
11,291.5359474753928,290.44993571000504,LEC
12,298.3617840626742,302.07151254219576,GAS
13,278.2234602158759,285.1001845564329,GAS
14,296.52566917759503,294.41476637874024,LEC
15,301.63230717490575,297.66625615810074,LEC
16,247.9906732495238,261.6370110040816,GAS
17,222.7623809456892,230.3911993067713,GAS
18,276.94120414814813,276.96662387227315,GAS
19,298.5275718789763,294.9800734663607,LEC
20,302.7988329386667,299.38152394494455,LEC
21,231.05344035255163,232.53036400469549,GAS
22,262.88524697142856,262.23813380820445,LEC
23,142.31006301653457,138.88467191090976,LEC
24,225.07385734517297,223.88561522316533,LEC
