Minisector,OCO,RUS,Fastest
0,267.1841107287267,270.58450916492916,RUS
1,286.81421973333335,290.07796853602423,RUS
2,292.6666676210526,295.15357124010023,RUS
3,124.13723919817181,123.52079298061538,OCO
4,191.3188164361059,192.79575250984436,RUS
5,251.3786024607108,251.585981570872,RUS
6,137.70993014041363,136.30369493827328,OCO
7,201.1599463108949,201.19782561379628,RUS
8,256.28333280000004,257.358560522449,RUS
9,274.9911194395665,276.1026914792344,RUS
10,235.7759120608195,229.09732841217934,OCO
11,178.69218984889847,170.41149476270772,OCO
12,188.13244700738528,188.69416865563136,RUS
13,151.77693725031367,141.92395467271768,OCO
14,179.64859114217572,178.97583281777779,OCO
15,161.47523158009744,161.0052321834868,OCO
16,213.75129964016207,216.29131964444446,RUS
17,230.5413787055885,229.0382537284162,OCO
18,232.69063018408656,232.7318839652174,RUS
19,239.35985037575756,232.4335687747399,OCO
20,142.44366577234928,141.52186068038466,OCO
21,132.66349102199425,131.87400049669682,OCO
22,167.34954927546434,168.57079429156772,RUS
23,148.6734490695178,146.1289068536282,OCO
24,223.74999795555553,228.42470183745766,RUS
25,253.14999893333334,,OCO
