Minisector,RUS,NOR,Fastest
0,296.8299523356914,307.36393245306147,NOR
1,305.3689275140773,322.3519015443751,NOR
2,289.29620567741927,308.84208140507116,NOR
3,109.33598616360315,102.74033512935974,RUS
4,234.4234478379149,222.79843504310114,RUS
5,278.69652500116877,281.7418458569917,NOR
6,190.9139797058782,235.7399683913753,NOR
7,164.79157016889536,148.79269439260457,RUS
8,198.86040124285032,212.4869737636993,NOR
9,208.17780702312925,208.39108983731546,NOR
10,123.22095708558824,116.23247521027687,RUS
11,232.11498031705406,222.35795750034697,RUS
12,114.81526393010333,120.15635352899628,NOR
13,225.40718107238095,209.19832343532428,RUS
14,282.00820516087003,272.98872271304344,RUS
15,203.32858975632183,235.4514147606999,NOR
16,195.75788713521968,176.14759511957354,RUS
17,241.76213122452106,244.4850864470757,NOR
18,189.45694721733832,217.1745724187713,NOR
19,192.6412152667858,167.98578582583187,RUS
20,267.2674514055032,256.79726195856733,RUS
21,294.50057079920634,287.4192305839066,RUS
22,174.1948901128319,195.64983814610193,NOR
23,217.79843376229272,186.31431043831293,RUS
24,274.3854369567347,263.4639047696808,RUS
25,287.0333340444444,283.345999872,RUS
