Minisector,LEC,ALB,Fastest
0,310.7143501654658,320.59366806522365,ALB
1,248.21199267900954,223.30286652231294,LEC
2,135.02347606176048,127.256586197595,LEC
3,242.68801216678858,218.06580576948147,LEC
4,190.74874493242908,184.63527274968203,LEC
5,255.2014049043117,237.61752111497597,LEC
6,238.64370680412918,218.2209889535305,LEC
7,252.79901778607407,258.05018956576646,ALB
8,292.6334884647619,294.4815627168254,ALB
9,205.6649025423043,181.94444938418243,LEC
10,199.07276312400626,209.3031394533204,ALB
11,277.3375324491228,277.2481228036637,LEC
12,213.54030233357696,203.053586805963,LEC
13,243.89049728764883,257.3629745523529,ALB
14,293.0176662913179,297.59105032811595,ALB
15,310.15740726857143,314.7675268502829,ALB
16,312.99261628652255,308.1216082031746,LEC
17,210.29661879542857,201.34999370593252,LEC
18,261.06408881803776,266.4998941054856,ALB
19,298.22967223026455,304.29739362159717,ALB
20,313.6177897112419,325.3034494275325,ALB
21,316.1183959118367,326.5438286653968,ALB
22,146.0466591834001,139.88940637594874,LEC
23,228.24960557606485,241.2592062923382,ALB
24,289.22032166577776,298.4111475565806,ALB
