Minisector,GIO,NOR,Fastest
0,314.86064667745853,331.88386811108234,NOR
1,223.5807135063403,230.72164564636998,NOR
2,135.35458538965736,137.14870149881352,NOR
3,221.9995123073441,225.14940669219067,NOR
4,265.9213130588566,267.30673437334,NOR
5,291.6825038545855,292.9789838546845,NOR
6,308.15997566550163,303.86624121441713,GIO
7,270.6627932648111,267.3965826091903,GIO
8,169.38486950176042,170.57173424887793,NOR
9,245.3633516279494,246.13710741016257,NOR
10,276.5382464112273,274.5975161168952,GIO
11,255.42645776047138,254.5310268007304,GIO
12,204.36335377684162,211.24944962687252,NOR
13,121.65690235953407,129.25006638325848,NOR
14,128.3147286781746,126.50621692482962,GIO
15,164.00094436252536,158.1585185847508,GIO
16,125.50268392582542,134.03155920583617,NOR
17,236.39410527688725,239.81033252364858,NOR
18,173.283179194523,169.40626526136046,GIO
19,166.8776862011618,176.91190463448305,NOR
20,251.1116103489762,253.39520784980516,NOR
21,280.37987511141966,279.7593228645687,GIO
22,301.20546448610344,298.24662742415285,GIO
23,318.88645773935065,308.75306218593914,GIO
24,330.05357142857144,313.93333333333334,GIO
25,333.4291669333333,,GIO
