Minisector,BOT,VET,Fastest
0,288.6481477671957,292.93378831974945,VET
1,301.4077888566477,304.59337220253497,VET
2,306.0294486990909,309.2558808119369,VET
3,307.624181647619,310.14511632133144,VET
4,183.87114710147623,178.0541142411243,BOT
5,207.16589321224774,218.1312685417318,VET
6,242.8500004254476,246.56085821362407,VET
7,266.90895906967415,269.8542952623663,VET
8,280.94428319854785,272.0771911232971,BOT
9,170.35585174554535,170.07796300949866,BOT
10,230.43127863547818,238.15048412702657,VET
11,146.39471164420016,145.73296017986513,BOT
12,220.35894659808562,230.27522870626353,VET
13,213.60945893191797,202.5786394644105,BOT
14,207.30330162056418,220.20146398856232,VET
15,250.90189791120537,250.3266558564912,BOT
16,262.0248898274342,264.46860464127303,VET
17,284.12260308855224,287.01739934932783,VET
18,168.3916873173605,144.04103931549568,BOT
19,146.18616166687622,162.8477757637328,VET
20,146.63510258484263,148.18415250777548,VET
21,173.2110557158988,169.53757393552058,BOT
22,120.85923568040972,121.70884128487985,VET
23,215.81642529433805,230.20380180345367,VET
24,268.38163845445655,275.99519525274803,VET
25,,289.6401686816418,VET
