Minisector,ALO,RUS,Fastest
0,230.25682617510978,229.93063277879497,ALO
1,280.915880832,282.36842994871796,RUS
2,293.47743026666666,296.7380987732802,RUS
3,297.6470547667537,305.0253623652174,RUS
4,263.5831563941582,259.12970198368174,ALO
5,163.7467311246697,160.0087392374616,ALO
6,257.3901802622111,260.2503814671087,RUS
7,276.9709876148148,273.81760199459984,ALO
8,213.67790678250935,207.47596828275096,ALO
9,216.90694357979797,216.83945337719695,ALO
10,180.4646032744734,172.69270690666667,ALO
11,220.4595939872876,217.042324114979,ALO
12,199.16576634234235,194.82724770461104,ALO
13,210.3164989840825,202.22767751260503,ALO
14,213.50966721385282,209.1586915703746,ALO
15,181.07945319836526,171.11549184009115,ALO
16,245.80412088285286,242.41391887069787,ALO
17,283.01519021104764,284.373397825641,RUS
18,293.8820759492921,297.5488299835728,RUS
19,281.9308214574956,288.61857551111115,RUS
20,132.32015645914228,128.73735767148023,ALO
21,156.5374440703773,152.4424853918372,ALO
22,151.1023152254114,141.7727955604276,ALO
23,200.42105704423162,202.7831238911706,RUS
24,145.388197975518,138.43674015375933,ALO
25,182.5583264,176.5,ALO
