Minisector,LAW,GAS,Fastest
0,314.86271990891356,327.37472590637805,GAS
1,216.87211483078238,246.64563212010802,GAS
2,128.19964133169324,130.49941424859747,GAS
3,213.1982028158373,215.44011345318543,GAS
4,261.8467103515844,262.1086371943978,GAS
5,290.5954955962437,288.48269469595766,LAW
6,308.62918256747696,298.74712955880125,LAW
7,283.69659987606445,288.7415845279552,GAS
8,170.44726884897867,176.5290906649084,GAS
9,239.30574266006352,240.67970674750103,GAS
10,270.78489401227404,269.94561301124185,LAW
11,257.35020338147183,260.4031229513637,GAS
12,199.4364780418612,206.47132771702218,GAS
13,122.65283770057142,122.4377012258977,LAW
14,123.71718345327332,118.04725771896854,LAW
15,152.66033561943487,172.95184437504895,GAS
16,129.50713817377058,119.89260004213489,LAW
17,220.7742368457059,222.17736985720057,GAS
18,167.78096418326385,193.35069262868686,GAS
19,165.3397245087679,156.08391503056578,LAW
20,245.99740634854066,241.31331704848577,LAW
21,274.1483579261104,269.27411856285715,LAW
22,295.74201092131165,287.610231757037,LAW
23,315.01431447215685,299.00942643121,LAW
24,327.331518927033,304.8687996825397,LAW
25,331.95714194285716,307.9819445333333,LAW
