Minisector,RUS,NOR,Fastest
0,304.13377677294363,311.01084623845816,NOR
1,315.13244053333335,324.9358980923077,NOR
2,321.6064897831339,333.1825551355311,NOR
3,316.6509613538461,337.7315478349206,NOR
4,198.523974591603,210.73597177281877,NOR
5,106.38577589416076,91.55824515825734,RUS
6,214.4023009204146,192.6318342630806,RUS
7,259.60413302507106,251.65567320560223,RUS
8,283.6855560838095,272.1111115377778,RUS
9,289.36587836988264,280.722180291155,RUS
10,152.0235117890701,152.9585977904762,NOR
11,187.4538048092516,168.1130577545517,RUS
12,244.6395835005291,233.40789535438594,RUS
13,235.39159525801364,235.6674798275689,NOR
14,158.25397873122589,147.8060919389453,RUS
15,222.48472274850087,213.96360732154196,RUS
16,263.9243948373728,263.05079464634923,RUS
17,283.5923210849812,281.3982767871759,RUS
18,294.44187944489795,284.6172221155556,RUS
19,297.5990282740066,291.01527815111115,RUS
20,279.71171746666664,283.24160406904673,NOR
21,156.18421394834428,146.46566532668004,RUS
22,215.2356666603777,210.53968518095238,RUS
23,261.1002458352941,263.3209425532757,NOR
24,284.84374953450504,286.7312505904762,NOR
25,292.75833386666665,293.92500160000003,NOR
