Minisector,RUS,MAG,Fastest
0,289.4760024571114,290.78344347638284,MAG
1,171.20979461937327,166.1850885764935,RUS
2,167.9583613180004,167.05690922225563,RUS
3,250.58475254450795,249.98263314471075,RUS
4,285.035459334966,285.1911488129293,MAG
5,253.11478751265597,248.61599134199136,RUS
6,218.8254729735279,219.58412827791508,MAG
7,153.56766297910937,150.11161376335664,RUS
8,227.32098958728386,225.806917989418,RUS
9,282.63771509925925,278.6628905533747,RUS
10,299.0287370444828,297.361124992,RUS
11,306.0350565773983,306.1354178181139,MAG
12,308.79361635080215,311.05921049263156,MAG
13,308.75,308.31585582717935,RUS
14,131.45689333297693,131.58644066302307,MAG
15,123.35490209796673,120.19333254577549,RUS
16,105.9644392581693,103.65624926499108,RUS
17,234.21774938531357,230.31460505052814,RUS
18,286.6445611398256,284.6182196533333,RUS
19,306.3457420377727,306.52463888973705,MAG
20,313.27664405684055,318.0247453695219,MAG
21,316.7686662842857,318.6811788048553,MAG
22,135.71367031794142,127.73477149078346,RUS
23,203.27672826934244,201.90506567045205,RUS
24,269.22667033936057,269.60086952546584,MAG
