Minisector,HUL,SAI,Fastest
0,268.8063183214652,260.659916939346,HUL
1,138.10467813226762,127.14849104761905,HUL
2,189.91702436736546,193.06386710275288,SAI
3,243.57009498817987,243.6365042925514,SAI
4,261.0875853823129,253.71279354048883,HUL
5,175.00854845398877,173.92778925599137,HUL
6,144.71626596246384,142.5532384792381,HUL
7,176.44821302857142,173.22334779649302,HUL
8,102.02785079304005,98.18698563385846,HUL
9,76.5695918159748,73.82885614596708,HUL
10,91.00902963233125,93.31158215856361,SAI
11,171.70819999608847,177.33188852023332,SAI
12,243.2304919072314,244.71029643827538,SAI
13,267.4720498205456,267.45897403076924,HUL
14,281.2217962666667,277.9863094857143,HUL
15,123.7281547510572,112.28391402331077,HUL
16,129.90894891598805,135.74173160205675,SAI
17,198.1412853848742,184.80546930974782,HUL
18,191.1171435222686,189.7526383244675,HUL
19,227.33035178066123,201.45304226083948,HUL
20,135.57673014879555,126.84132747741484,HUL
21,126.14227770351096,112.68956195506665,HUL
22,86.98837251239449,91.32943109431815,SAI
23,187.8522736448517,197.33016966793468,SAI
24,246.58600493475052,250.28396396799465,SAI
