Minisector,RUS,LEC,Fastest
0,298.11879007237746,289.9154519352539,RUS
1,165.84976054185634,165.11301835125747,RUS
2,155.7751004803186,149.27301837089604,RUS
3,233.01898387548715,231.37099523226465,RUS
4,285.6402991656517,293.0781585438939,LEC
5,287.6516716672831,287.83554195537874,LEC
6,143.66192805061044,145.29341721287992,LEC
7,147.71350698895247,141.00371295324933,RUS
8,136.71894494517556,139.95475914073333,LEC
9,204.2294387382652,193.49743842440017,RUS
10,133.62473570610538,127.03310452767776,RUS
11,132.95574160934262,123.83796708920146,RUS
12,177.40219268416965,174.84124496388344,RUS
13,272.46116540100127,271.684616809651,RUS
14,295.12530966798613,295.40599748448966,LEC
15,154.6455888074056,154.26626814889784,RUS
16,206.713194113811,200.32180523207316,RUS
17,178.32619812732003,177.1635215030367,RUS
18,272.0968492174131,274.0300480053648,LEC
19,293.1677984000018,299.0283924000074,LEC
20,308.7023568444091,314.78868733955557,LEC
21,316.82315457423033,322.52922965174963,LEC
22,323.74725092932334,327.7304085142122,LEC
23,326.14773164157606,332.67530831253976,LEC
24,323.9009328294844,330.61781908200135,LEC
