Minisector,SAI,GAS,Fastest
0,290.40326953693005,286.08754642719106,SAI
1,294.3375730196079,287.37241972705885,SAI
2,158.94853865980363,157.6686975950599,SAI
3,217.9918431799846,220.83842927238095,GAS
4,270.3504772931696,270.8276133868161,GAS
5,292.1171865109815,292.18223641650354,GAS
6,298.8721510269733,296.50828107488326,SAI
7,156.03860987870968,167.6038419956989,GAS
8,123.07914447050506,120.55557453639835,SAI
9,247.99310429926436,245.6550775328254,SAI
10,288.7547484894942,284.57841683746034,SAI
11,301.1523101780494,293.71662083555555,SAI
12,148.06569709234842,148.88494377031282,GAS
13,192.8909352066116,189.4026407402198,SAI
14,255.67492261137696,253.1881008193683,SAI
15,196.49703683483256,205.25769969097144,GAS
16,211.31002521104864,212.78782942371984,GAS
17,201.890126810386,208.58710712,GAS
18,237.6091646001803,241.82852931795992,GAS
19,276.05539126417113,274.19664389995154,SAI
20,294.21297633523807,290.7654165485714,SAI
21,260.46071220638413,256.2775554350705,SAI
22,220.30094734689519,219.48606961986889,SAI
23,203.60217593803358,203.77793836312378,GAS
24,262.43048678319326,260.8855112887299,SAI
25,280.8874976,278.1562496,SAI
