Minisector,BOT,OCO,Fastest
0,286.99722960380956,281.9406488462027,BOT
1,148.21191287496853,155.82115407366229,OCO
2,166.2261102419853,169.87604407330883,OCO
3,244.98149179193678,243.7377268679241,BOT
4,279.5763065837968,274.00891284827406,BOT
5,230.33979867581692,228.34418444941727,BOT
6,204.44464442549634,213.96805929517396,OCO
7,152.9392574358155,152.02315308072215,BOT
8,233.22366266274426,233.2768296348385,OCO
9,281.27460133521936,282.064880258454,OCO
10,297.3265333628086,299.1200079989226,OCO
11,305.67756581894736,308.510571229145,OCO
12,310.2135507998508,309.83992486255636,BOT
13,302.55300073323497,298.9486258013816,BOT
14,125.94958434583867,122.76084382387712,BOT
15,118.70126524980671,108.83350365104349,BOT
16,99.33116180522609,104.6226534820251,OCO
17,236.45637748843856,239.17463792683503,OCO
18,282.8517880535517,286.3935179547016,OCO
19,302.3481791555252,304.8600841739386,OCO
20,311.4217965228053,315.83103752366014,OCO
21,315.0077834369161,313.367831027451,BOT
22,127.25681669315499,116.99530315619283,BOT
23,199.93301339588285,211.86426139421488,OCO
24,266.83701519256994,265.8261386951911,BOT
