Minisector,PER,PIA,Fastest
0,297.4343625535353,293.6617989802215,PER
1,217.220113400685,214.0401143390891,PER
2,230.59439611989023,228.02306866767955,PER
3,276.53748987716307,272.55817312372005,PER
4,245.88681989594303,243.04246674516594,PER
5,132.57548787655284,130.72351193444513,PER
6,204.8404853186977,214.0267647127321,PIA
7,256.88269222890267,260.17706691735015,PIA
8,262.27974260016896,251.27795780931604,PER
9,243.90101773253247,240.9488540201023,PER
10,277.36874772206204,272.3948596491159,PER
11,293.243062344696,286.83855019863944,PER
12,302.5405038059422,293.14536262492754,PER
13,307.2261140991087,296.80160415021334,PER
14,307.44779390802137,297.1524795478261,PER
15,272.7217119745992,262.77827658708827,PER
16,244.8154847352981,249.32803833963393,PIA
17,278.84856654545456,275.17361157874393,PER
18,291.98757171437336,284.82302944724125,PER
19,157.23970126554192,167.2373101579963,PIA
20,213.8587528707626,215.0188370196771,PIA
21,198.76575114099916,191.94948535845916,PER
22,143.45771719852627,138.90041052962047,PER
23,240.9222952992477,234.68392926489926,PER
24,285.33716978624335,277.85288644730946,PER
25,295.7500003555555,289.84000128,PER
