Minisector,GAS,ALO,Fastest
0,291.39714902456143,288.9373915716918,GAS
1,296.8004638814815,296.26827744985997,GAS
2,169.55997679191918,170.9470746091018,ALO
3,222.94621467447175,220.60716667733334,GAS
4,272.45401430716254,272.35855219649125,GAS
5,293.72017532631577,291.8821378524346,GAS
6,301.5460648888889,299.66176476862745,GAS
7,185.19190642448663,196.87642031216703,ALO
8,121.22459992358982,116.44220925217391,GAS
9,247.79563443809525,244.36946429268474,GAS
10,283.8455119672004,281.4011894168266,GAS
11,295.88352457898355,293.1828704,GAS
12,152.00645906615924,156.9984789221023,ALO
13,190.1625347958877,177.52003856761905,GAS
14,257.4170350294785,252.203108284731,GAS
15,205.66668339141063,217.93787292063493,ALO
16,218.62678338895145,211.16618440650825,GAS
17,212.36556876659796,217.01778884102563,ALO
18,242.07794424883068,235.6166658909091,GAS
19,275.20375939849623,272.19796002885323,GAS
20,292.6741665947177,290.48611093333335,GAS
21,263.14492035274384,277.29000106666666,ALO
22,227.45126426685457,236.42232405358877,ALO
23,206.37327836540018,200.2060178567901,GAS
24,265.17142846984126,260.3760108181065,GAS
25,,278.53233811836355,ALO
