Minisector,HAM,BOT,Fastest
0,262.8482457263158,264.855633362963,BOT
1,296.9365170579788,297.4876740279838,BOT
2,310.8209328,313.2023365737878,BOT
3,319.64974598165793,323.15154784507934,BOT
4,324.5854166857143,329.60119055238096,BOT
5,327.44481299591837,332.35714285714283,BOT
6,282.46176269803925,282.6164409904762,BOT
7,116.6571866504602,114.83643071405977,HAM
8,149.7217455311629,151.7015284977778,BOT
9,251.04890414035086,251.40739412153607,BOT
10,288.72526073333336,289.92000035555554,BOT
11,231.25467476049403,243.81270672,BOT
12,93.94797403424116,94.23296588199207,BOT
13,113.39396004484925,110.47669409160144,HAM
14,214.50357211428573,212.00229974718613,HAM
15,196.1744285927619,194.80231427626376,HAM
16,222.96570234198708,224.27460317460316,BOT
17,195.5388888888889,193.21483206984126,HAM
18,221.42434457142858,225.41048500809393,BOT
19,271.8230393098039,276.0509525938254,BOT
20,289.50946714626565,295.14166666666665,BOT
21,155.8471288275862,157.85605415303777,BOT
22,102.76497128887652,101.41019003177736,HAM
23,123.75450372612613,119.84669487059865,HAM
24,205.3366496015959,206.1003070108609,BOT
