Minisector,LEC,ERI,Fastest
0,291.9543391955506,302.30527053202644,ERI
1,303.3369426488889,306.6511111111111,ERI
2,162.64179891612903,155.75072446808076,LEC
3,222.57315629216987,227.11824489142856,ERI
4,273.888971482353,282.4789062666667,ERI
5,295.3427088,310.4926943702269,ERI
6,304.5303637405501,323.19423081025644,ERI
7,175.67545713439154,169.80235946666667,LEC
8,125.07060391597575,128.10407538962963,ERI
9,247.05642427669173,252.73601217502704,ERI
10,283.87818679215684,290.0741668977778,ERI
11,299.02138830222225,305.66770833333334,ERI
12,146.39368402655123,144.78896293342953,LEC
13,188.74891575652174,197.07291786666667,ERI
14,258.29802728421055,257.7638202330349,LEC
15,189.4386793532658,195.06410698697093,ERI
16,219.8186810267574,225.55412059402434,ERI
17,207.75939973095393,214.63409654024846,ERI
18,241.895834722807,244.1100883649123,ERI
19,274.7349269490196,275.2317136822555,ERI
20,292.81035585917925,291.97492700106557,LEC
21,253.44312277333333,250.09953517037036,LEC
22,221.69140336815576,219.0964946649995,LEC
23,199.6505451130435,209.19261464242425,ERI
24,265.3408167130412,268.5374472517454,ERI
