Minisector,OCO,PER,Fastest
0,264.6153689256651,257.2991298703107,OCO
1,126.0732283643139,133.57427434358985,PER
2,267.2963538210653,261.749608,OCO
3,315.57857131428574,305.6703506180326,OCO
4,315.4816165048051,303.94502554013604,OCO
5,325.10246913580244,313.0512173757984,OCO
6,339.72457404175753,318.0166885643739,OCO
7,345.1347618864762,312.55540132345675,OCO
8,197.42981128000986,199.7410066181818,PER
9,192.46605763688186,192.8974106959515,PER
10,181.93291509628784,186.3086273377541,PER
11,162.57063804511876,167.0621557815659,PER
12,250.22927653725105,251.58766104011545,PER
13,266.95583625118775,282.29964197838206,PER
14,277.30813150107525,280.4121631012151,PER
15,271.37330603526397,271.7683191791091,PER
16,185.1441561730159,182.67971571595388,OCO
17,189.6915282216395,192.3162318251362,PER
18,241.19806066417814,236.17163170394556,OCO
19,288.28124199900725,284.10885561838813,OCO
20,310.7136931989923,306.04614162962963,OCO
21,318.57712631132546,315.7146778863595,OCO
22,315.03304467775695,315.30428572038096,PER
23,254.88312066604448,258.0377964544655,PER
24,112.60346063012065,116.00950745869615,PER
25,227.4,,OCO
