Minisector,NOR,PIA,Fastest
0,291.6560317647452,280.6564407901821,NOR
1,160.32948720179385,145.46815739761462,NOR
2,161.86212728957534,169.72539889564345,PIA
3,242.16718074829933,244.14965128082815,PIA
4,263.8439014421211,265.8651483679481,PIA
5,243.06794479177145,234.7374450730159,NOR
6,212.76715344808625,214.2277177331861,PIA
7,143.87759967532182,147.9339578678605,PIA
8,225.9912351541195,224.07748544097396,NOR
9,298.4259583670408,297.08450663726734,NOR
10,322.78619625574424,319.404755147484,NOR
11,323.013837449266,317.74220972929294,NOR
12,315.28897467915516,310.65809946326823,NOR
13,310.92537790075187,306.98487677182175,NOR
14,126.88892510833286,129.6535853934779,PIA
15,117.5039051461619,120.27628069582146,PIA
16,97.7324261022334,100.23007359110453,PIA
17,243.08869470158433,233.53449302344464,NOR
18,304.53501288314624,301.9325187445291,NOR
19,325.84803313662337,321.77703279191917,NOR
20,328.3413827419827,322.03629323763505,NOR
21,323.14664946262627,316.007375,NOR
22,128.0227054106298,119.10692121882161,NOR
23,198.83322714242013,196.00552408885414,NOR
24,276.47344390115245,272.18385178125874,NOR
25,,286.2,PIA
