Minisector,HAM,RIC,Fastest
0,309.8707383216562,308.76388402565874,HAM
1,316.21469299649124,320.19249346031745,RIC
2,311.2701392,320.4293981037037,RIC
3,231.7503755125596,224.33714862050726,HAM
4,222.91430959706958,226.5424672820513,RIC
5,118.62423670695226,113.43874019229087,HAM
6,214.71865668793708,218.81295764467,RIC
7,268.002650569697,271.7755952111965,RIC
8,233.63267165866665,219.87547231898895,HAM
9,118.4729541407897,116.33725464674924,HAM
10,234.40859908944188,237.85531243942205,RIC
11,244.67699357681158,248.9195156719549,RIC
12,139.7075654950058,130.72979413424875,HAM
13,210.20954257495592,215.68751996127577,RIC
14,268.0868926926077,268.8057535492063,RIC
15,229.36512722962962,220.47665916269557,HAM
16,157.04175788444445,156.7548159231967,HAM
17,238.38699925333333,240.4472051478261,RIC
18,125.74903215591162,120.00667908375647,HAM
19,148.1324012550392,139.4912575133963,HAM
20,190.4363859657143,195.47542738614533,RIC
21,261.1419849956693,261.84107088253967,RIC
22,278.2791663746032,275.3392483744935,HAM
23,285.26150764263036,280.2831268714771,HAM
24,290.79344053864634,287.2180136100251,HAM
25,293.0,,HAM
