Minisector,VER,HAD,Fastest
0,288.0891044990476,293.0680908933333,HAD
1,298.2032904719577,306.215882247873,HAD
2,302.35254627555554,310.9052314646913,HAD
3,298.66561967411195,305.37185102222224,HAD
4,207.09061626258205,189.6176236789715,VER
5,225.27703715534602,224.95223250920404,VER
6,267.7148678735238,271.9121321159805,HAD
7,274.49785137870134,266.63492411027573,VER
8,205.4841099372567,195.52034980253808,VER
9,149.6722356831273,143.5212425182914,VER
10,186.86607136547713,187.07263995479877,HAD
11,264.4196575289358,265.1005254308388,HAD
12,254.13900713904764,244.33242756508307,VER
13,236.07519390014428,227.60028536911852,VER
14,273.58916737414245,271.6697346436453,VER
15,173.69565972297428,166.56295827293894,VER
16,226.86888929885492,223.76634768243716,VER
17,241.88268915878788,229.53221286176048,VER
18,136.65103681480883,131.06979066463927,VER
19,243.4455159429777,247.38119388349028,HAD
20,284.874821932309,288.22177533084255,HAD
21,250.83191977553565,227.67490016697568,VER
22,145.7662650961308,147.4989246233997,HAD
23,213.87824736240603,225.23486869249479,HAD
24,269.269555359623,276.8359158896816,HAD
