Minisector,NOR,RAI,Fastest
0,297.286573708642,304.43370949849134,RAI
1,155.97438663654546,156.68596143887063,RAI
2,150.2485527414565,147.84038827716276,NOR
3,223.18370721784552,223.18198905717588,NOR
4,286.8079531763809,295.2748015873016,RAI
5,289.5328705580247,297.4453084134911,RAI
6,141.2883083516395,141.21908343466666,NOR
7,140.9644588589051,137.8726892220355,NOR
8,145.2163168254354,146.43818044081632,RAI
9,177.22008172354418,174.5149731219318,NOR
10,132.40599420311503,130.44039503317853,NOR
11,124.62077624798958,126.46092707772883,RAI
12,164.28743871594423,159.3830732369044,NOR
13,269.6175994572481,267.6639166976297,NOR
14,295.5499576801475,295.0472075172517,NOR
15,150.8365288747588,150.94911209899865,RAI
16,211.0936163106397,214.60572138247403,RAI
17,164.39400635027735,158.72672843602246,NOR
18,270.1263108959574,269.0245143142494,NOR
19,297.5316906605714,296.77599991466667,NOR
20,311.6336945785506,310.0351665803227,NOR
21,319.52632576969694,319.687454442411,RAI
22,322.8126669636899,325.7083333333333,RAI
23,332.3437495834268,335.94575129408906,RAI
24,332.9806183377708,340.6583333587302,RAI
25,,342.16249973333333,RAI
