Minisector,NOR,STR,Fastest
0,298.6293348646191,310.8460456293218,STR
1,234.47191650126624,222.79087236232735,NOR
2,191.6955827399571,187.0139363145348,NOR
3,263.0497393306183,261.58880981308226,NOR
4,212.42846254483234,212.14304125977011,NOR
5,106.9007689762649,106.2131835437574,NOR
6,165.19114213864125,162.34470596424023,NOR
7,255.67809364609053,255.06695956649847,NOR
8,288.37636748279994,290.6402991033155,STR
9,304.45404367394383,317.93043917837576,STR
10,307.34275739064066,325.5746678821832,STR
11,211.8631838063492,206.98658179537705,NOR
12,136.45776135995283,135.0004882486637,NOR
13,250.9976455107664,252.7523139557576,STR
14,289.6461508992,290.1797970615208,STR
15,301.9546928517246,302.5273210639965,STR
16,298.1575776758592,301.1042101,STR
17,257.55820608410255,251.86581573456868,NOR
18,176.0233409592216,171.02596236429807,NOR
19,169.97982890930356,172.02616261724583,STR
20,170.7200462376088,182.60770010689754,STR
21,239.8199271185348,242.49472160340991,STR
22,113.57215705652409,113.36552143369721,NOR
23,190.68946070069197,200.12977088285714,STR
24,275.9631678639746,273.7947115247719,NOR
25,,289.9090920727273,STR
