Minisector,PER,ALO,Fastest
0,290.9402737735818,293.0069773371928,ALO
1,301.73105250807015,302.27758514781334,ALO
2,275.67997778986665,279.76146360248447,ALO
3,107.7494541937983,105.74229630509491,PER
4,216.69337406258504,216.23740304212558,PER
5,267.57986194511267,268.73570866031827,ALO
6,202.09279251857143,201.4953538299567,PER
7,164.47619834208513,162.97510818854238,PER
8,204.81940626880674,204.25052801572372,PER
9,203.37418172298348,218.58275725945165,ALO
10,114.79364700512537,111.14331625595992,PER
11,227.7745621937577,228.78826542849038,ALO
12,118.23913087954558,112.10250026144475,PER
13,221.75652198420966,215.30546776584126,PER
14,271.3266418389625,282.8089334477627,ALO
15,212.95378647352274,208.74850799186706,PER
16,192.36979971599524,197.1644957038174,ALO
17,239.3062275322864,250.94278560822858,ALO
18,192.4161547869264,179.58033908620033,PER
19,186.12286866235323,187.87791812666666,ALO
20,263.6504424640542,265.3575135809524,ALO
21,288.4368836949281,291.89551214083696,ALO
22,167.84367734590475,158.61130035723411,PER
23,204.04043939684658,220.1819154319577,ALO
24,270.25309365439153,278.87392512417097,ALO
25,284.16,,PER
