Minisector,SAI,PIA,Fastest
0,297.76874908748664,294.50059119238097,SAI
1,307.54828285537866,300.8542238857143,SAI
2,221.8678906793651,218.42486077660135,SAI
3,136.11928269751587,142.43116125300682,PIA
4,220.35105420650038,219.8044772129443,SAI
5,164.29254503371453,164.22795477121693,SAI
6,168.85936616869353,169.8363388163041,PIA
7,252.34169835677017,251.35403132800002,SAI
8,280.67754897568625,277.7866014157143,SAI
9,291.1262254745098,285.64643786039215,SAI
10,254.7315559817101,264.5476601541736,PIA
11,237.60279589239767,236.5718618783151,SAI
12,239.09816131468912,240.05257543090318,PIA
13,207.72662845575758,208.16335243384515,PIA
14,128.94393759134942,133.92553077925925,PIA
15,140.60400132733045,142.82030160813133,PIA
16,167.74842854721558,166.7906474962963,SAI
17,248.1230936085154,246.41532301497526,SAI
18,253.65148412533335,255.17240441584076,PIA
19,116.30860600431633,117.53417884025367,PIA
20,188.91111781867681,192.12752927845412,PIA
21,199.38418361703134,200.50839156950602,PIA
22,231.90129528996334,228.59054890780953,SAI
23,264.24808092070174,260.92770495938424,SAI
24,284.8544864247619,281.1677444883958,SAI
25,293.78000128,289.7053568,SAI
