Minisector,PER,SAI,Fastest
0,303.91072531131414,287.46058440839914,PER
1,319.2569443047619,294.4155796869565,PER
2,306.27193941471864,285.3356641466818,PER
3,107.7717581233795,111.58179987398987,SAI
4,221.3407248172043,223.73694432,SAI
5,278.99412852678057,272.7726585828571,PER
6,226.97694634666667,214.4905110118326,PER
7,158.06042357614194,163.32258686171377,SAI
8,216.28715517542244,212.2145836,PER
9,225.13549734376357,223.89160689135468,PER
10,121.47026485586406,120.33502567756348,PER
11,226.6760052597701,234.16376083841374,SAI
12,127.33592983927305,126.92466182179304,PER
13,222.75131667396562,225.53291252200842,SAI
14,276.97166640761907,279.4822916,SAI
15,226.81625129955555,217.94077194441672,PER
16,192.76785651809524,192.84206593784532,SAI
17,251.54675921382716,250.49183870658143,PER
18,213.47916813333333,195.68668930393002,PER
19,176.31751183352492,181.79395333490828,SAI
20,260.82976321929453,262.7554617427615,SAI
21,281.47577641909703,286.96051593650793,SAI
22,181.78796138595823,175.10511021983356,PER
23,214.06854744086021,218.78011923809524,SAI
24,266.85178855500226,270.4409511450148,SAI
25,280.0,,PER
