Minisector,PIA,ALO,Fastest
0,284.1137739585327,277.2081637285532,PIA
1,300.1119387492668,295.28296885428574,PIA
2,300.98560093315194,293.5272586020834,PIA
3,167.4050234373249,175.11133978737575,ALO
4,215.21899693860263,208.64163574718617,PIA
5,193.87882452410383,191.5595962188633,PIA
6,176.4440685472548,176.65710023622324,ALO
7,200.3618644082251,195.9385116829975,PIA
8,251.5896460341073,246.89804248814815,PIA
9,261.82639944134013,259.41673690652306,PIA
10,164.44627722234014,165.58496973963523,ALO
11,235.79776691423092,232.44317598864333,PIA
12,116.59562203200412,118.39672775431858,ALO
13,219.15191510083437,222.32829019184052,ALO
14,278.8287280209078,272.9808693577143,PIA
15,294.3031664090383,289.82101156799206,PIA
16,203.21780776547524,205.43384241777778,ALO
17,177.17476676429183,178.38842827083616,ALO
18,266.33140609652077,261.7553690446887,PIA
19,292.41928271030304,289.9683712430355,PIA
20,304.5466173570695,302.5011563493333,PIA
21,304.94910222388097,303.2345488845773,PIA
22,275.133610092588,267.15862734592594,PIA
23,112.54225713739176,111.59893973800456,PIA
24,233.45107425020282,234.86262112183726,ALO
25,,263.97222400000004,ALO
