Minisector,ANT,BOR,Fastest
0,245.96909773965606,244.4627128877598,ANT
1,132.2821484973772,136.56417836037414,BOR
2,278.12433831316946,272.92653368886306,ANT
3,314.8513424656448,305.4675875299171,ANT
4,297.4276648575691,290.97135067715936,ANT
5,319.3621462208482,308.5010425458577,ANT
6,319.62025028739316,308.33539638435303,ANT
7,314.14857498239996,306.54646013816875,ANT
8,195.75096566583304,204.62120359040924,BOR
9,193.47326002987256,186.78011845010124,ANT
10,178.9269962295439,184.75021854024425,BOR
11,176.79657737853003,172.83362666659198,ANT
12,244.84899266281096,241.14770918106848,ANT
13,263.6548119402181,262.13194569336963,ANT
14,256.5713317748515,263.4990138951111,BOR
15,247.32755353381467,261.6072664095733,BOR
16,173.74861577895916,175.90714994975502,BOR
17,188.14180383740674,187.7348507078544,ANT
18,252.00969018448978,235.92714217904762,ANT
19,303.06251678191256,283.6483712148067,ANT
20,325.3612609328655,311.113928404898,ANT
21,314.1652469814816,293.4399881077854,ANT
22,290.7797749824339,275.4331384350641,ANT
23,250.87342767496747,247.9429751778414,ANT
24,117.79052211171897,117.37051827498011,ANT
25,220.4,218.1956978725926,ANT
