Minisector,LIN,GAS,Fastest
0,298.4295430523996,300.7433271163363,GAS
1,206.3799578845019,184.7997991852392,LIN
2,222.46491459809525,215.73888741443588,LIN
3,272.2452286695554,271.6129528901027,LIN
4,234.99841845424763,240.97901564559942,GAS
5,120.99029538521467,120.86990664988699,LIN
6,200.81289308685047,198.03364260010946,LIN
7,244.87127803345456,240.45506963279504,LIN
8,228.93742854700082,234.32281282635137,GAS
9,229.49476312926512,233.60577246379626,GAS
10,281.14753187479425,287.8340383219994,GAS
11,307.3425765663167,308.9957442485901,GAS
12,323.1323673204417,318.24869313527995,LIN
13,324.19854486942245,313.92460665121234,LIN
14,316.22475203196535,311.0,LIN
15,236.44205869557678,311.0,GAS
16,226.82605249792903,236.94699503637187,GAS
17,278.41882354652495,268.31364134938326,LIN
18,290.00776198155705,289.69446954666665,LIN
19,152.33940835391698,184.53259798490294,GAS
20,190.2194483348148,174.47969885074116,LIN
21,168.35351089178874,192.6070521503016,GAS
22,128.02010001951555,120.22694155250272,LIN
23,236.12400085766987,202.88443132807257,LIN
24,289.22520552700155,281.93700997608784,LIN
25,283.7750464,299.0973607822222,GAS
