Minisector,PER,PIA,Fastest
0,270.49537064231816,273.68317104110974,PIA
1,290.7292636146283,300.8629564495051,PIA
2,294.1062950078908,307.33037567222,PIA
3,125.75323065582411,121.3977966293976,PER
4,184.2234404250295,184.12427575134086,PER
5,249.4282592671073,253.11369168404352,PIA
6,132.56965733188275,130.56402165062403,PER
7,193.4600530537228,189.49516080328533,PER
8,255.09247048516423,253.22198208435375,PER
9,280.48139863070264,278.7325826913851,PER
10,229.92039516883452,231.10667858388214,PIA
11,167.33259544441415,163.2901528685496,PER
12,185.2486652118895,186.69500797545913,PIA
13,140.83330507093822,143.86297157855884,PIA
14,175.7099963287423,171.68319991721043,PER
15,159.1078457488799,161.34668026076187,PIA
16,214.03771861499843,210.56070769918384,PER
17,230.77504487499561,233.626216301296,PIA
18,235.74347916937126,233.75703873177002,PER
19,233.3728325608753,234.6409169066667,PIA
20,145.06881552020474,144.84681184663862,PER
21,128.2192191571726,127.9788353349258,PER
22,163.84713447671623,162.02795015859138,PER
23,150.23936327564877,149.65166068690823,PER
24,224.93095213711175,225.61248658978826,PIA
