Minisector,NOR,GIO,Fastest
0,281.3803849287982,278.38266780630437,NOR
1,220.19576184761902,219.1786042353974,NOR
2,113.88030015646795,115.3496684602634,GIO
3,197.68693589804133,197.83593800000003,GIO
4,169.70087287511583,172.62597394593556,GIO
5,222.32363525079367,225.19528804621967,GIO
6,279.5233390596491,280.1836154065163,GIO
7,297.43198677673263,297.69289022645506,GIO
8,169.72338245714286,172.3034328878976,GIO
9,124.57499387151171,128.40543605120715,GIO
10,135.97471300784005,133.87127125075324,NOR
11,197.0212299118166,191.62361106567784,NOR
12,211.00420417667277,217.04297542890512,GIO
13,129.86435979537023,133.01862060749806,GIO
14,141.9992681266963,155.47894162119897,GIO
15,132.29561616786594,123.14707043414069,NOR
16,257.1306089826591,254.84645802666665,NOR
17,137.89046881486533,142.7336220053724,GIO
18,201.34638227510248,201.04321617244906,NOR
19,127.93987626838349,132.63711887481043,GIO
20,145.30609857681335,149.9635962700305,GIO
21,126.78581820579876,122.13518552342853,NOR
22,150.8612131906922,142.19932950724484,NOR
23,218.28928554666666,216.33569673712856,NOR
24,239.8687693900308,231.61964292987014,NOR
25,,263.9611121777778,GIO
