Minisector,BOT,VET,Fastest
0,299.63077289689863,299.6378069014979,VET
1,256.473633237357,261.96131424414835,VET
2,206.43973042748584,211.20043753342227,VET
3,268.2324823990324,271.74114899875775,VET
4,232.91086275808013,249.52307826751664,VET
5,120.13894721525126,122.6154943273451,VET
6,186.4985680945533,183.48525177511803,BOT
7,260.3335592467559,259.0520216683535,BOT
8,288.8165651824973,288.6461974167947,BOT
9,302.7560567480626,301.7918799689683,BOT
10,305.71267345222697,307.0691668266667,VET
11,226.9065046606665,241.321741147658,VET
12,146.40563560298574,142.24473864607566,BOT
13,255.967326752197,256.77815990198246,VET
14,289.86559847005424,290.75901835152405,VET
15,300.97179482557885,302.3080590500316,VET
16,295.5488558327831,299.34485116952385,VET
17,271.58183491742017,285.94868294075576,VET
18,194.57285096621126,200.78591618434555,VET
19,194.10825103340323,209.00729375901847,VET
20,191.01055244320315,182.0288593404486,BOT
21,252.4763853313687,259.4694810978224,VET
22,129.62958706214403,143.97757670018595,VET
23,197.96695056897644,175.59370730755427,BOT
24,276.4715993461131,275.09893882402514,BOT
25,,294.5919984211107,VET
