Minisector,HAM,RUS,Fastest
0,311.14873911950195,313.9240280739506,RUS
1,323.03232716719765,325.9187804037645,RUS
2,325.8968942109373,330.65611373871786,RUS
3,293.67420098039366,301.13892989358146,RUS
4,162.40802605282073,152.489175670293,HAM
5,196.44391864067828,196.73241383805765,RUS
6,216.65361249528522,219.27201189678533,RUS
7,256.34020816227314,260.85246473119133,RUS
8,237.62498051090867,220.91655675730897,HAM
9,159.54858087578134,156.39446755248105,HAM
10,203.91565667130794,203.2925625122229,HAM
11,127.02029509581047,122.56467754570387,HAM
12,233.7320390866633,231.96534709871744,HAM
13,176.0043952201929,157.94141893160122,HAM
14,203.74358401830975,208.26597204583686,RUS
15,219.29088727191854,220.63174671814522,RUS
16,259.80250739938276,267.7255366244428,RUS
17,294.11905511071035,299.63923881958317,RUS
18,149.1816156230762,133.93980297832476,HAM
19,152.95770623353147,158.88731682437714,RUS
20,136.66697518649337,134.66429696451343,HAM
21,223.07934648377707,226.311626367294,RUS
22,242.6553171972418,244.57808387157627,RUS
23,231.4260543644248,231.843702155773,RUS
24,282.18476222577203,284.4632922623357,RUS
