Minisector,RUS,VET,Fastest
0,250.5961321338388,247.02824939266768,RUS
1,212.2890099650986,205.16957291786235,RUS
2,204.8100756283272,198.5917946567894,RUS
3,254.95541687226387,248.22534506771734,RUS
4,269.33040267132975,265.0704777971093,RUS
5,281.44676059200003,276.0124241856277,RUS
6,166.7230558248189,159.36916084999342,RUS
7,180.1460103270711,182.76440972584274,VET
8,261.90863188759147,261.280916768254,RUS
9,285.6008517929881,286.747158692987,VET
10,294.6319981624242,296.90661532631583,VET
11,297.12416634666664,293.76856374720944,RUS
12,108.98952405829428,112.73101345004464,VET
13,194.04823696203331,196.31641040548007,VET
14,266.3101385525019,264.39592012985133,RUS
15,287.3924342905263,290.2818729881552,VET
16,284.41671423792206,290.34229191111115,VET
17,184.33661213623444,178.19008519632024,RUS
18,220.9254733902948,210.78214158114773,RUS
19,259.30893883225605,258.84530746469784,RUS
20,154.9791979045614,153.16385060154235,RUS
21,144.59085994045657,136.69908369204722,RUS
22,216.9308336134543,215.6802826264316,RUS
23,226.07315616386032,229.04864323491205,VET
24,165.4616738076169,151.43678535894182,RUS
25,,220.83888497777778,VET
