Minisector,ANT,HAM,Fastest
0,245.96909773965606,247.2014824911207,HAM
1,132.2821484973772,135.8814243185423,HAM
2,278.12433831316946,276.80021697374696,ANT
3,314.8513424656448,315.37128679336854,HAM
4,297.4276648575691,297.0323984865247,ANT
5,319.3621462208482,319.6926506590003,HAM
6,319.62025028739316,321.0482856484571,HAM
7,314.14857498239996,316.777008818563,HAM
8,195.75096566583304,204.17729228901567,HAM
9,193.47326002987256,186.0946112740887,ANT
10,178.9269962295439,179.9852563474409,HAM
11,176.79657737853003,167.1545975635481,ANT
12,244.84899266281096,244.1895689627911,ANT
13,263.6548119402181,264.27723322274244,HAM
14,256.5713317748515,266.2923303118753,HAM
15,247.32755353381467,256.6245579936508,HAM
16,173.74861577895916,173.86709326297708,HAM
17,188.14180383740674,188.94627730315597,HAM
18,252.00969018448978,252.03626257188895,HAM
19,303.06251678191256,302.2113292541784,ANT
20,325.3612609328655,317.6099295628028,ANT
21,314.1652469814816,294.3423012282307,ANT
22,290.7797749824339,275.6873151504459,ANT
23,250.87342767496747,256.8007984799946,HAM
24,117.79052211171897,114.72494921485861,ANT
25,220.4,221.48276252254044,HAM
