Minisector,HAM,LEC,Fastest
0,290.44648544861286,295.1000520590981,LEC
1,156.15438809498406,155.13144862328505,HAM
2,166.47790397758232,165.66324903336798,HAM
3,237.45686501485713,234.46888147885417,HAM
4,257.03750332084036,255.23938055508626,HAM
5,238.07268004656086,237.96922786573276,HAM
6,212.9944772882155,214.5577044782485,LEC
7,144.75843127475784,142.0792261743801,HAM
8,225.82407116945296,230.385904076473,LEC
9,296.52897669956707,297.09194533595024,LEC
10,318.112875747997,320.1499999604938,LEC
11,315.76460665644004,317.4342263036415,LEC
12,310.4151007475556,310.9306987045926,LEC
13,303.40797655171326,304.9137777777778,LEC
14,126.64721523458212,122.25401947116498,HAM
15,119.2664727122883,116.16762891560697,HAM
16,105.35091526109919,109.24609099225219,LEC
17,241.19416406383837,244.77085661266025,LEC
18,303.35480848071325,305.7186973579832,LEC
19,319.0553473068646,320.63208849329607,LEC
20,316.0703704177778,315.87031698285716,HAM
21,311.4652781807853,311.2435418133333,HAM
22,119.06320039282284,118.10428295140419,HAM
23,200.76705801902986,213.77862382940162,LEC
24,273.53777989176115,278.94224939343434,LEC
