Minisector,ALO,NOR,Fastest
0,293.5243058984127,298.6293348646191,NOR
1,245.80044673094017,234.47191650126624,ALO
2,194.3479512859896,191.6955827399571,ALO
3,261.8579172644571,263.0497393306183,NOR
4,223.65475166440487,207.61936823871412,ALO
5,111.73309334345667,106.32662944026939,ALO
6,168.44020283426798,167.79114210020282,ALO
7,252.74353917554382,256.61955884102565,NOR
8,286.1187153267864,288.37636748279994,NOR
9,301.3523717183626,304.45404367394383,NOR
10,306.55833281038963,307.34275739064066,NOR
11,237.2266005846154,211.8631838063492,ALO
12,139.25190063358923,136.45776135995283,ALO
13,253.11547830902433,252.16894347406642,ALO
14,287.127289140959,290.1340114088889,NOR
15,297.32407106762867,301.9546928517246,NOR
16,288.0565949087076,298.1510119393651,NOR
17,255.9038341924579,255.94053432746668,NOR
18,177.46232472323052,176.0233409592216,ALO
19,177.52645411341797,169.97982890930356,ALO
20,180.1758609993645,172.78518777367714,ALO
21,240.44318165876277,239.69272420327619,ALO
22,115.71090853891603,113.42642343348817,ALO
23,190.30922163645477,195.614958391643,NOR
24,272.1174713701903,275.9631678639746,NOR
25,285.8125008,,ALO
