Minisector,RIC,KVY,Fastest
0,283.5507011226891,277.0031393643276,RIC
1,124.79870251004914,126.67605755577216,KVY
2,154.60491111632217,156.30407976644975,KVY
3,211.26539826086955,205.895933714941,RIC
4,165.65205815870536,165.35176326507207,RIC
5,245.2201393185185,241.05062604738706,RIC
6,218.91497187138017,207.8247280644962,RIC
7,132.98210595775964,134.69611237844774,KVY
8,226.73770821333332,231.3457430095238,KVY
9,274.5620043174603,271.95429510536906,RIC
10,278.87270643790987,283.1644960268908,KVY
11,148.28957351029186,148.1975438468647,RIC
12,217.33159202016412,218.56862216417233,KVY
13,271.4972907381294,266.09611173878807,RIC
14,261.41001857354496,254.66842172631578,RIC
15,97.0414655512244,100.31685986245576,KVY
16,213.33901078257023,219.9976189968254,KVY
17,266.90648183703706,266.9345765767006,KVY
18,293.17284243809524,286.4757810666667,RIC
19,303.38603868866045,296.1359374,RIC
20,308.5824224780682,300.3596914545192,RIC
21,283.6148424,274.521813772549,RIC
22,153.4287478995078,156.29534015095058,KVY
23,234.19210560000002,234.09812442666666,RIC
24,275.71185099771367,271.69520502010585,RIC
25,287.20416746666666,,RIC
