Minisector,ALB,RIC,Fastest
0,254.6668079784985,266.676782883536,RIC
1,131.75762839063796,137.0726947606997,RIC
2,195.4735178390003,201.03509818324017,RIC
3,245.86754835199437,250.47757994829018,RIC
4,255.09849814397407,261.8020822857143,RIC
5,172.30825520936224,176.7672744581571,RIC
6,144.33549017608044,145.8064634767084,RIC
7,180.03982522474527,181.394138531985,RIC
8,101.26830841117877,103.07466078134303,RIC
9,75.14379339423563,74.73250735034348,ALB
10,94.96705887133055,93.2967897729113,ALB
11,185.4345221225608,175.023534200783,ALB
12,246.07360655089815,247.89123544931863,RIC
13,270.61896411928876,272.5849418473571,RIC
14,282.0754419057714,285.903409729334,RIC
15,116.50219882322503,126.8343858990338,RIC
16,146.1565399677174,129.1607278842943,ALB
17,184.537350821323,190.51566206891638,RIC
18,193.35678477450446,196.93305574257727,RIC
19,206.1829527807812,219.42237262556375,RIC
20,136.35329263864043,137.0792530644374,RIC
21,111.44274561795591,124.62909943034852,RIC
22,97.88139354619615,85.23161748687718,ALB
23,198.71137961780119,183.3050941276287,ALB
24,250.3140637251803,248.64305154405017,ALB
25,265.1625024,265.57788097451385,RIC
