Minisector,HAM,SAI,Fastest
0,288.00955376,299.1504408324208,SAI
1,300.50671318518516,310.7836472049696,SAI
2,176.38266084923478,160.47183679360387,HAM
3,223.92565310068315,216.73517618286732,HAM
4,270.3555185338032,274.07521903157897,SAI
5,288.1826391111111,298.2727580023236,SAI
6,292.1257919921212,311.714625960215,SAI
7,181.99013039124665,179.87085297142858,HAM
8,128.60628170563575,118.65137499802286,HAM
9,248.57776562433403,251.27481076363637,SAI
10,279.8774663534742,294.78000834546816,SAI
11,290.11493260405825,311.2895828740741,SAI
12,156.02174545933775,142.40142882169678,HAM
13,192.40232423207522,188.07334164353742,HAM
14,258.7009354376417,255.91758844630579,HAM
15,218.68130294423298,202.39177231478774,HAM
16,225.61544612877364,214.3024977989871,HAM
17,227.8454235410212,216.6765591505743,HAM
18,247.12215806060604,240.32047100289856,HAM
19,274.7320912159145,271.35341488120304,HAM
20,289.8489218915421,287.881071734996,HAM
21,271.0741253614035,266.37604513595613,HAM
22,235.84687771488368,228.17798941524,HAM
23,204.94582685266727,202.40540100740742,HAM
24,261.3940652000411,261.8816096750205,SAI
25,278.6333333333333,,HAM
