Minisector,HAM,RAI,Fastest
0,285.8466508243266,298.97537429036544,RAI
1,253.89136411225485,251.5673828038095,HAM
2,269.81100076286384,271.2811126542837,RAI
3,278.7740648235433,294.4541192688664,RAI
4,138.1995312408636,131.4237579488114,HAM
5,211.9516835856176,219.95219625014076,RAI
6,266.56611062332314,273.0342389210576,RAI
7,285.276731490437,292.78068864702425,RAI
8,294.3536457111111,301.6896122863747,RAI
9,299.2263020666667,304.86249986666667,RAI
10,287.0921545512954,276.85447979546683,HAM
11,105.99688812471163,102.3339167536716,HAM
12,223.45570279458127,231.65390925632892,RAI
13,272.67527623609317,278.7022505220808,RAI
14,278.62773530817714,259.1623631570511,HAM
15,140.6801993035163,130.25007559007574,HAM
16,213.6488580192689,215.40579308483044,RAI
17,260.5740571079148,266.8526450539682,RAI
18,265.40900009170963,240.07070088726178,HAM
19,250.58337464665806,246.5756936838999,HAM
20,158.02206531160647,147.18023588064264,HAM
21,196.79618052377023,206.50982682410196,RAI
22,183.69722418347752,176.04793953518197,HAM
23,196.65033716629858,200.70426158933333,RAI
24,255.0273729693259,261.4620641764795,RAI
25,274.31840806158266,,HAM
